sample,fastq_1,fastq_2
231,../fastq/231_C80GMANXX_GTCCGC_L004_R1.fastq.gz,../fastq/231_C80GMANXX_GTCCGC_L004_R2.fastq.gz
231,../fastq/231_C85J7ANXX_GTCCGC_L005_R1.fastq.gz,../fastq/231_C85J7ANXX_GTCCGC_L005_R2.fastq.gz
232,../fastq/232_C80GMANXX_GTGAAA_L004_R1.fastq.gz,../fastq/232_C80GMANXX_GTGAAA_L004_R2.fastq.gz
232,../fastq/232_C85J7ANXX_GTGAAA_L005_R1.fastq.gz,../fastq/232_C85J7ANXX_GTGAAA_L005_R2.fastq.gz
233,../fastq/233_C80GMANXX_GTGGCC_L004_R1.fastq.gz,../fastq/233_C80GMANXX_GTGGCC_L004_R2.fastq.gz
233,../fastq/233_C85J7ANXX_GTGGCC_L005_R1.fastq.gz,../fastq/233_C85J7ANXX_GTGGCC_L005_R2.fastq.gz
234,../fastq/234_C80GMANXX_GTTTCG_L004_R1.fastq.gz,../fastq/234_C80GMANXX_GTTTCG_L004_R2.fastq.gz
234,../fastq/234_C85J7ANXX_GTTTCG_L005_R1.fastq.gz,../fastq/234_C85J7ANXX_GTTTCG_L005_R2.fastq.gz
241,../fastq/241_C7JRYANXX_GTTTCG_L008_R1.fastq.gz,../fastq/241_C7JRYANXX_GTTTCG_L008_R2.fastq.gz
241,../fastq/241_C80GMANXX_GTTTCG_L008_R1.fastq.gz,../fastq/241_C80GMANXX_GTTTCG_L008_R2.fastq.gz
242,../fastq/242_C80GMANXX_CGTACG_L004_R1.fastq.gz,../fastq/242_C80GMANXX_CGTACG_L004_R2.fastq.gz
242,../fastq/242_C85J7ANXX_CGTACG_L005_R1.fastq.gz,../fastq/242_C85J7ANXX_CGTACG_L005_R2.fastq.gz
243,../fastq/243_C80GMANXX_GAGTGG_L004_R1.fastq.gz,../fastq/243_C80GMANXX_GAGTGG_L004_R2.fastq.gz
243,../fastq/243_C85J7ANXX_GAGTGG_L005_R1.fastq.gz,../fastq/243_C85J7ANXX_GAGTGG_L005_R2.fastq.gz
244,../fastq/244_C80GMANXX_ACTGAT_L004_R1.fastq.gz,../fastq/244_C80GMANXX_ACTGAT_L004_R2.fastq.gz
244,../fastq/244_C85J7ANXX_ACTGAT_L005_R1.fastq.gz,../fastq/244_C85J7ANXX_ACTGAT_L005_R2.fastq.gz
245,../fastq/245_C80GMANXX_ATTCCT_L004_R1.fastq.gz,../fastq/245_C80GMANXX_ATTCCT_L004_R2.fastq.gz
245,../fastq/245_C85J7ANXX_ATTCCT_L005_R1.fastq.gz,../fastq/245_C85J7ANXX_ATTCCT_L005_R2.fastq.gz
246,../fastq/246_C80GMANXX_ATCACG_L004_R1.fastq.gz,../fastq/246_C80GMANXX_ATCACG_L004_R2.fastq.gz
246,../fastq/246_C85J7ANXX_ATCACG_L005_R1.fastq.gz,../fastq/246_C85J7ANXX_ATCACG_L005_R2.fastq.gz
247,../fastq/247_C80GMANXX_CGATGT_L004_R1.fastq.gz,../fastq/247_C80GMANXX_CGATGT_L004_R2.fastq.gz
247,../fastq/247_C85J7ANXX_CGATGT_L005_R1.fastq.gz,../fastq/247_C85J7ANXX_CGATGT_L005_R2.fastq.gz
254,../fastq/254_C7JRYANXX_TTAGGC_L005_R1.fastq.gz,../fastq/254_C7JRYANXX_TTAGGC_L005_R2.fastq.gz
254,../fastq/254_C80GMANXX_TTAGGC_L005_R1.fastq.gz,../fastq/254_C80GMANXX_TTAGGC_L005_R2.fastq.gz
255,../fastq/255_C7JRYANXX_TGACCA_L005_R1.fastq.gz,../fastq/255_C7JRYANXX_TGACCA_L005_R2.fastq.gz
255,../fastq/255_C80GMANXX_TGACCA_L005_R1.fastq.gz,../fastq/255_C80GMANXX_TGACCA_L005_R2.fastq.gz
256,../fastq/256_C7JRYANXX_ACAGTG_L005_R1.fastq.gz,../fastq/256_C7JRYANXX_ACAGTG_L005_R2.fastq.gz
256,../fastq/256_C80GMANXX_ACAGTG_L005_R1.fastq.gz,../fastq/256_C80GMANXX_ACAGTG_L005_R2.fastq.gz
257,../fastq/257_C7JRYANXX_GCCAAT_L005_R1.fastq.gz,../fastq/257_C7JRYANXX_GCCAAT_L005_R2.fastq.gz
257,../fastq/257_C80GMANXX_GCCAAT_L005_R1.fastq.gz,../fastq/257_C80GMANXX_GCCAAT_L005_R2.fastq.gz
258,../fastq/258_C7JRYANXX_CAGATC_L005_R1.fastq.gz,../fastq/258_C7JRYANXX_CAGATC_L005_R2.fastq.gz
258,../fastq/258_C80GMANXX_CAGATC_L005_R1.fastq.gz,../fastq/258_C80GMANXX_CAGATC_L005_R2.fastq.gz
259,../fastq/259_C7JRYANXX_ACTTGA_L005_R1.fastq.gz,../fastq/259_C7JRYANXX_ACTTGA_L005_R2.fastq.gz
259,../fastq/259_C80GMANXX_ACTTGA_L005_R1.fastq.gz,../fastq/259_C80GMANXX_ACTTGA_L005_R2.fastq.gz
266,../fastq/266_C7JRYANXX_GATCAG_L005_R1.fastq.gz,../fastq/266_C7JRYANXX_GATCAG_L005_R2.fastq.gz
266,../fastq/266_C80GMANXX_GATCAG_L005_R1.fastq.gz,../fastq/266_C80GMANXX_GATCAG_L005_R2.fastq.gz
267,../fastq/267_C7JRYANXX_TAGCTT_L005_R1.fastq.gz,../fastq/267_C7JRYANXX_TAGCTT_L005_R2.fastq.gz
267,../fastq/267_C80GMANXX_TAGCTT_L005_R1.fastq.gz,../fastq/267_C80GMANXX_TAGCTT_L005_R2.fastq.gz
268,../fastq/268_C7JRYANXX_GGCTAC_L005_R1.fastq.gz,../fastq/268_C7JRYANXX_GGCTAC_L005_R2.fastq.gz
268,../fastq/268_C80GMANXX_GGCTAC_L005_R1.fastq.gz,../fastq/268_C80GMANXX_GGCTAC_L005_R2.fastq.gz
269,../fastq/269_C7JRYANXX_CTTGTA_L005_R1.fastq.gz,../fastq/269_C7JRYANXX_CTTGTA_L005_R2.fastq.gz
269,../fastq/269_C80GMANXX_CTTGTA_L005_R1.fastq.gz,../fastq/269_C80GMANXX_CTTGTA_L005_R2.fastq.gz
270,../fastq/270_C7JRYANXX_AGTCAA_L005_R1.fastq.gz,../fastq/270_C7JRYANXX_AGTCAA_L005_R2.fastq.gz
270,../fastq/270_C80GMANXX_AGTCAA_L005_R1.fastq.gz,../fastq/270_C80GMANXX_AGTCAA_L005_R2.fastq.gz
271,../fastq/271_C7JRYANXX_AGTTCC_L005_R1.fastq.gz,../fastq/271_C7JRYANXX_AGTTCC_L005_R2.fastq.gz
271,../fastq/271_C80GMANXX_AGTTCC_L005_R1.fastq.gz,../fastq/271_C80GMANXX_AGTTCC_L005_R2.fastq.gz
